id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_penderita_dm,satuan,tahun
67,32.0,JAWA BARAT,3213.0,KABUPATEN SUBANG,27375,ORANG,2021
68,32.0,JAWA BARAT,3214.0,KABUPATEN PURWAKARTA,11962,ORANG,2021
69,32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,153547,ORANG,2021
70,32.0,JAWA BARAT,3216.0,KABUPATEN BEKASI,37185,ORANG,2021
71,32.0,JAWA BARAT,3217.0,KABUPATEN BANDUNG BARAT,17009,ORANG,2021
72,32.0,JAWA BARAT,3218.0,KABUPATEN PANGANDARAN,6708,ORANG,2021
73,32.0,JAWA BARAT,3271.0,KOTA BOGOR,17042,ORANG,2021
74,32.0,JAWA BARAT,3272.0,KOTA SUKABUMI,19258,ORANG,2021
75,32.0,JAWA BARAT,3273.0,KOTA BANDUNG,43761,ORANG,2021
76,32.0,JAWA BARAT,3274.0,KOTA CIREBON,18160,ORANG,2021
77,32.0,JAWA BARAT,3275.0,KOTA BEKASI,54661,ORANG,2021
78,32.0,JAWA BARAT,3276.0,KOTA DEPOK,50631,ORANG,2021
79,32.0,JAWA BARAT,3277.0,KOTA CIMAHI,9716,ORANG,2021
80,32.0,JAWA BARAT,3278.0,KOTA TASIKMALAYA,9729,ORANG,2021
81,32.0,JAWA BARAT,3279.0,KOTA BANJAR,10201,ORANG,2021
82,32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,63978,ORANG,2022
83,32.0,JAWA BARAT,3202.0,KABUPATEN SUKABUMI,17981,ORANG,2022
84,32.0,JAWA BARAT,3203.0,KABUPATEN CIANJUR,15941,ORANG,2022
85,32.0,JAWA BARAT,3204.0,KABUPATEN BANDUNG,45465,ORANG,2022
86,32.0,JAWA BARAT,3205.0,KABUPATEN GARUT,22594,ORANG,2022
87,32.0,JAWA BARAT,3206.0,KABUPATEN TASIKMALAYA,21129,ORANG,2022
88,32.0,JAWA BARAT,3207.0,KABUPATEN CIAMIS,16847,ORANG,2022
89,32.0,JAWA BARAT,3208.0,KABUPATEN KUNINGAN,21782,ORANG,2022
90,32.0,JAWA BARAT,3209.0,KABUPATEN CIREBON,23174,ORANG,2022
91,32.0,JAWA BARAT,3210.0,KABUPATEN MAJALENGKA,14164,ORANG,2022
92,32.0,JAWA BARAT,3211.0,KABUPATEN SUMEDANG,23340,ORANG,2022
93,32.0,JAWA BARAT,3212.0,KABUPATEN INDRAMAYU,33131,ORANG,2022
94,32.0,JAWA BARAT,3213.0,KABUPATEN SUBANG,27005,ORANG,2022
95,32.0,JAWA BARAT,3214.0,KABUPATEN PURWAKARTA,14022,ORANG,2022
96,32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,36259,ORANG,2022
97,32.0,JAWA BARAT,3216.0,KABUPATEN BEKASI,39992,ORANG,2022
98,32.0,JAWA BARAT,3217.0,KABUPATEN BANDUNG BARAT,19675,ORANG,2022
99,32.0,JAWA BARAT,3218.0,KABUPATEN PANGANDARAN,5097,ORANG,2022
100,32.0,JAWA BARAT,3271.0,KOTA BOGOR,19570,ORANG,2022
101,32.0,JAWA BARAT,3272.0,KOTA SUKABUMI,5521,ORANG,2022
102,32.0,JAWA BARAT,3273.0,KOTA BANDUNG,44329,ORANG,2022
103,32.0,JAWA BARAT,3274.0,KOTA CIREBON,9008,ORANG,2022
104,32.0,JAWA BARAT,3275.0,KOTA BEKASI,42984,ORANG,2022
105,32.0,JAWA BARAT,3276.0,KOTA DEPOK,38479,ORANG,2022
106,32.0,JAWA BARAT,3277.0,KOTA CIMAHI,9863,ORANG,2022
107,32.0,JAWA BARAT,3278.0,KOTA TASIKMALAYA,10997,ORANG,2022
108,32.0,JAWA BARAT,3279.0,KOTA BANJAR,2377,ORANG,2022
109,32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,65620,ORANG,2023
110,32.0,JAWA BARAT,3202.0,KABUPATEN SUKABUMI,14180,ORANG,2023
111,32.0,JAWA BARAT,3203.0,KABUPATEN CIANJUR,13398,ORANG,2023
112,32.0,JAWA BARAT,3204.0,KABUPATEN BANDUNG,59205,ORANG,2023
113,32.0,JAWA BARAT,3205.0,KABUPATEN GARUT,16367,ORANG,2023
114,32.0,JAWA BARAT,3206.0,KABUPATEN TASIKMALAYA,30058,ORANG,2023
115,32.0,JAWA BARAT,3207.0,KABUPATEN CIAMIS,14976,ORANG,2023
116,32.0,JAWA BARAT,3208.0,KABUPATEN KUNINGAN,18614,ORANG,2023
117,32.0,JAWA BARAT,3209.0,KABUPATEN CIREBON,14055,ORANG,2023
118,32.0,JAWA BARAT,3210.0,KABUPATEN MAJALENGKA,12096,ORANG,2023
119,32.0,JAWA BARAT,3211.0,KABUPATEN SUMEDANG,20443,ORANG,2023
120,32.0,JAWA BARAT,3212.0,KABUPATEN INDRAMAYU,31964,ORANG,2023
121,32.0,JAWA BARAT,3213.0,KABUPATEN SUBANG,25530,ORANG,2023
122,32.0,JAWA BARAT,3214.0,KABUPATEN PURWAKARTA,13201,ORANG,2023
123,32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,36926,ORANG,2023
124,32.0,JAWA BARAT,3216.0,KABUPATEN BEKASI,39979,ORANG,2023
125,32.0,JAWA BARAT,3217.0,KABUPATEN BANDUNG BARAT,15874,ORANG,2023
126,32.0,JAWA BARAT,3218.0,KABUPATEN PANGANDARAN,7110,ORANG,2023
127,32.0,JAWA BARAT,3271.0,KOTA BOGOR,17445,ORANG,2023
128,32.0,JAWA BARAT,3272.0,KOTA SUKABUMI,4336,ORANG,2023
129,32.0,JAWA BARAT,3273.0,KOTA BANDUNG,41413,ORANG,2023
130,32.0,JAWA BARAT,3274.0,KOTA CIREBON,21231,ORANG,2023
131,32.0,JAWA BARAT,3275.0,KOTA BEKASI,43257,ORANG,2023
132,32.0,JAWA BARAT,3276.0,KOTA DEPOK,43929,ORANG,2023
133,32.0,JAWA BARAT,3277.0,KOTA CIMAHI,10016,ORANG,2023
134,32.0,JAWA BARAT,3278.0,KOTA TASIKMALAYA,11782,ORANG,2023
135,32.0,JAWA BARAT,3279.0,KOTA BANJAR,2385,ORANG,2023
136,32.0,JAWA BARAT,3201.0,KABUPATEN BOGOR,65751,ORANG,2024
137,32.0,JAWA BARAT,3202.0,KABUPATEN SUKABUMI,16011,ORANG,2024
138,32.0,JAWA BARAT,3203.0,KABUPATEN CIANJUR,15838,ORANG,2024
139,32.0,JAWA BARAT,3204.0,KABUPATEN BANDUNG,44200,ORANG,2024
140,32.0,JAWA BARAT,3205.0,KABUPATEN GARUT,24348,ORANG,2024
141,32.0,JAWA BARAT,3206.0,KABUPATEN TASIKMALAYA,16386,ORANG,2024
142,32.0,JAWA BARAT,3207.0,KABUPATEN CIAMIS,14906,ORANG,2024
143,32.0,JAWA BARAT,3208.0,KABUPATEN KUNINGAN,20252,ORANG,2024
144,32.0,JAWA BARAT,3209.0,KABUPATEN CIREBON,19300,ORANG,2024
145,32.0,JAWA BARAT,3210.0,KABUPATEN MAJALENGKA,12502,ORANG,2024
146,32.0,JAWA BARAT,3211.0,KABUPATEN SUMEDANG,21005,ORANG,2024
147,32.0,JAWA BARAT,3212.0,KABUPATEN INDRAMAYU,66896,ORANG,2024
148,32.0,JAWA BARAT,3213.0,KABUPATEN SUBANG,26290,ORANG,2024
149,32.0,JAWA BARAT,3214.0,KABUPATEN PURWAKARTA,14348,ORANG,2024
150,32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,38805,ORANG,2024
151,32.0,JAWA BARAT,3216.0,KABUPATEN BEKASI,38666,ORANG,2024
152,32.0,JAWA BARAT,3217.0,KABUPATEN BANDUNG BARAT,15911,ORANG,2024
153,32.0,JAWA BARAT,3218.0,KABUPATEN PANGANDARAN,7312,ORANG,2024
154,32.0,JAWA BARAT,3271.0,KOTA BOGOR,17912,ORANG,2024
155,32.0,JAWA BARAT,3272.0,KOTA SUKABUMI,5255,ORANG,2024
156,32.0,JAWA BARAT,3273.0,KOTA BANDUNG,42042,ORANG,2024
157,32.0,JAWA BARAT,3274.0,KOTA CIREBON,9524,ORANG,2024
158,32.0,JAWA BARAT,3275.0,KOTA BEKASI,46481,ORANG,2024
159,32.0,JAWA BARAT,3276.0,KOTA DEPOK,44061,ORANG,2024
160,32.0,JAWA BARAT,3277.0,KOTA CIMAHI,10021,ORANG,2024
161,32.0,JAWA BARAT,3278.0,KOTA TASIKMALAYA,11782,ORANG,2024
162,32.0,JAWA BARAT,3279.0,KOTA BANJAR,2415,ORANG,2024
163,0.0,JIWI BIRIT,100.0,Bandoeng,10,orang,2025
164,11.0,JIWI BIRIT,1.0,Bandoeng,100,orang,2025
166,,Cek,,Binding ,350,Orang,2000
